arr,block,time
128,4,0.030304
128,8,0.028608
128,16,0.023232
128,32,0.023904
256,4,0.036576
256,8,0.036384
256,16,0.024160
256,32,0.023648
512,4,0.079616
512,8,0.056288
512,16,0.033664
512,32,0.034560
1024,4,0.234240
1024,8,0.235072
1024,16,0.205312
1024,32,0.053120
2048,4,0.637376
2048,8,0.379296
2048,16,0.285952
2048,32,0.166304
4096,4,2.487392
4096,8,1.419776
4096,16,1.053216
4096,32,0.555808
8192,4,13.248896
8192,8,8.938176
8192,16,5.463552
8192,32,1.772352
16384,4,49.416031
16384,8,22.489536
16384,16,12.155008
16384,32,6.460672
